study_word,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
police,c_m_ra,camera,new,"camara
",[0.011111111111111112],[-0.29555555555555557],[1],[0],[0],[15.229470291000325],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
cushion,v_s_,vase,new,vase,[0.07],[-0.2811111111111111],[1],[0],[0],[8.3212262080051],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
laptop,p_nc_l,pencil,new,pencil,[0.028888888888888888],[-0.30666666666666664],[1],[0],[0],[16.02145983299124],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
,bo_t_e,bottle,new,bottle,[0.0],[-0.29333333333333333],[1],[0],[0],[12.095869957993273],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
,ta_l_,table,new,tale,[0.0],[-0.29333333333333333],[1],[0],[0],[4.779023209004663],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
chart,p_li_e,police,old,"police
",[0.0022222222222222222],[-0.30333333333333334],[1],[0],[0],[15.191096541995648],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
cruise,l_pt_p,laptop,old,"lopsad
",[0.06555555555555556],[-0.30666666666666664],[1],[0],[0],[38.16417750000255],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
case,_ha_t,chart,old,"chart
",[0.015555555555555555],[-0.3233333333333333],[1],[0],[0],[10.45472208299907],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
tshirt,t_hi_t,tshirt,old,"tshirt
",[0.028888888888888888],[-0.3111111111111111],[1],[0],[0],[8.788663666986395],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
mouse,p_str_,pastry,old,postr,[0.0022222222222222222],[-0.2877777777777778],[1],[0],[0],[16.11282995902002],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
phone,c_s_,case,old,"case
","[0.02666666666666667, 0.02666666666666667]","[-0.3288888888888889, -0.2966666666666667]","[1, 1]","[0, 0]","[0, 0]","[7.865299041994149, 8.597465625003679]",['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
poster,_ou_se,mouse,old,mouse,[-0.01],[-0.29555555555555557],[1],[0],[0],[5.364465833001304],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
book,p_st_r,poster,old,poster,[-0.013333333333333334],[-0.31333333333333335],[1],[0],[0],[5.296964624983957],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
keys,_o_rd,board,old,board,[-0.0077777777777777776],[-0.29555555555555557],[1],[0],[0],[20.231554083991796],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
board,_o_se,mouse,old,pose,[-0.0033333333333333335],[-0.30444444444444446],[1],[0],[0],[6.26177120799548],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
pastry,k_y_,keys,old,keye,[0.0044444444444444444],[-0.28],[1],[0],[0],[14.405933125002775],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
marble,_a_bl_,marble,old,cable,"[-0.0011111111111111111, -0.0011111111111111111]","[-0.25333333333333335, -0.29333333333333333]","[1, 1]","[0, 0]","[0, 0]","[9.537562958983472, 10.062679708993528]",['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
,_oo_,book,old,coos,[0.006666666666666667],[-0.2911111111111111],[1],[0],[0],[24.480635749991052],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
,_ru_is_,cruise,old,cruise,[0.0],[-0.29333333333333333],[1],[0],[0],[9.93919462498161],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
,_ho_e,phone,old,shoe,[0.0],[-0.29333333333333333],[1],[0],[0],[4.705739375000121],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
,c_s_io_,cushion,old,casio,[0.0],[-0.29333333333333333],[1],[0],[0],[4.473753583006328],['submit_text'],arnav,001,2024-11-07_22h37.57.702,wordpriming,2024.1.5,None,2024-11-07 22h38.59.535126 +0700
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,prop hit old,0.5625,,,,,,,,,,,,,,
,,,prop hi t new,0.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,-0.2375,,,,,,,,,,,,,,